header,updateType,seqNo,preamble,rank,carNumber,uniqueId,completedLaps,elapsedTime,lastLapTime,lapStatus,fastestLapTime,fastestLap,timeBehindLeader,lapsBehindLeader,timeBehindPrec,lapsBehindPrec,overallRank,overallBestLapTime,currentStatus,trackStatus,pitStopCount,lastPit,startPosition,lapsLed
$C,U,,R.I,10,1,,1,89.1347770289505,43.59762922873549,T,43.59762922873549,1,5.374170468950496,0,0.8042307558014272,0,10,43.59762922873549,Active,G,0,0,10,0
$C,U,,R.I,1,10,,2,125.64090984,41.88030328,T,41.88030328,2,0,0,0,0,1,41.88030328,Active,G,0,0,1,3
$C,U,,R.I,2,9,,2,126.5186138747795,42.09334050434648,T,42.09334050434648,2,0.877704034779498,0,0.877704034779498,0,2,42.09334050434648,Active,G,0,0,2,0
$C,U,,R.I,3,8,,2,127.19743133397296,42.248642018694305,T,42.248642018694305,2,1.5565214939729515,0,0.6788174591934535,0,3,42.248642018694305,Active,G,0,0,3,0
$C,U,,R.I,4,7,,2,128.0822256504152,42.40965809115264,T,42.40965809115264,2,2.4413158104152046,0,0.8847943164422531,0,4,42.40965809115264,Active,G,0,0,4,0
$C,U,,R.I,5,6,,2,128.58569888512318,42.56612808500187,T,42.56612808500187,2,2.944789045123173,0,0.5034732347079682,0,5,42.56612808500187,Active,G,0,0,5,0
$C,U,,R.I,6,5,,2,129.16607619963412,42.75675910108742,T,42.75675910108742,2,3.525166359634113,0,0.5803773145109403,0,6,42.75675910108742,Active,G,0,0,6,0
$C,U,,R.I,7,4,,2,130.4831460936981,42.91371278808117,T,42.91371278808117,2,4.842236253698104,0,1.3170698940639909,0,7,42.91371278808117,Active,G,0,0,7,0
$C,U,,R.I,8,3,,2,130.91260287423756,43.030019863689304,T,43.030019863689304,2,5.271693034237558,0,0.4294567805394536,0,8,43.030019863689304,Active,G,0,0,8,0
$C,U,,R.I,9,2,,2,131.55217613897193,43.22162986582287,T,43.22162986582287,2,5.911266298971924,0,0.6395732647343664,0,9,43.22162986582287,Active,G,0,0,9,0
$C,U,,R.I,10,1,,2,132.5215097359303,43.3867327069798,T,43.3867327069798,2,6.880599895930288,0,0.9693335969583643,0,10,43.3867327069798,Active,G,0,0,10,0
$C,U,,R.I,1,10,,3,167.52121312,41.88030328,T,41.88030328,3,0,0,0,0,1,41.88030328,Active,G,0,0,1,4
$C,U,,R.I,2,9,,3,168.6037645315904,42.08515065681088,T,42.08515065681088,3,1.0825514115904014,0,1.0825514115904014,0,2,42.08515065681088,Active,G,0,0,2,0
$C,U,,R.I,3,8,,3,169.411668688686,42.21423735471304,T,42.21423735471304,3,1.8904555686860078,0,0.8079041570956065,0,3,42.21423735471304,Active,G,0,0,3,0
$C,U,,R.I,4,7,,3,170.43653108850918,42.35430543809396,T,42.35430543809396,3,2.9153179685091857,0,1.0248623998231778,0,4,42.35430543809396,Active,G,0,0,4,0
$C,U,,R.I,5,6,,3,171.07515805063107,42.48945916550789,T,42.48945916550789,3,3.5539449306310757,0,0.6386269621218901,0,5,42.48945916550789,Active,G,0,0,5,0
$C,U,,R.I,6,5,,3,171.8239688585127,42.65789265887858,T,42.65789265887858,3,4.302755738512701,0,0.7488108078816254,0,6,42.65789265887858,Active,G,0,0,6,0
$C,U,,R.I,7,4,,3,173.27384332715678,42.79069723345868,T,42.79069723345868,3,5.752630207156784,0,1.449874468644083,0,7,42.79069723345868,Active,G,0,0,7,0
$C,U,,R.I,8,3,,3,173.80022095146992,42.88761807723236,T,42.88761807723236,3,6.279007831469926,0,0.5263776243131417,0,8,42.88761807723236,Active,G,0,0,8,0
$C,U,,R.I,9,2,,3,174.61298566520568,43.06080952623375,T,43.06080952623375,3,7.091772545205686,0,0.8127647137357599,0,9,43.06080952623375,Active,G,0,0,9,0
$C,U,,R.I,10,1,,3,175.72286667960907,43.201356943678775,T,43.201356943678775,3,8.20165355960907,0,1.1098810144033848,0,10,43.201356943678775,Active,G,0,0,10,0
$C,U,,R.I,1,10,,4,209.4015164,41.88030328,T,41.88030328,4,0,0,0,0,1,41.88030328,Active,G,0,0,1,5
$C,U,,R.I,2,9,,4,210.68104018538577,42.077275653795354,T,42.077275653795354,4,1.279523785385777,0,1.279523785385777,0,2,42.077275653795354,Active,G,0,0,2,0
$C,U,,R.I,3,8,,4,211.59360227269127,42.18193358400527,T,42.18193358400527,4,2.1920858726912797,0,0.9125620873055027,0,3,42.18193358400527,Active,G,0,0,3,0
$C,U,,R.I,4,7,,4,212.7408812196924,42.30435013118322,T,42.30435013118322,4,3.339364819692406,0,1.1472789470011264,0,4,42.30435013118322,Active,G,0,0,4,0
$C,U,,R.I,5,6,,4,213.49615575696077,42.42099770632969,T,42.42099770632969,4,4.0946393569607835,0,0.7552745372683773,0,5,42.42099770632969,Active,G,0,0,5,0
$C,U,,R.I,6,5,,4,214.39408152472942,42.57011266621671,T,42.57011266621671,4,4.992565124729424,0,0.8979257677686405,0,6,42.57011266621671,Active,G,0,0,6,0
$C,U,,R.I,7,4,,4,215.95564921435306,42.68180588719627,T,42.68180588719627,4,6.554132814353068,0,1.5615676896236437,0,7,42.68180588719627,Active,G,0,0,7,0
$C,U,,R.I,8,3,,4,216.5626015645365,42.762380613066576,T,42.762380613066576,4,7.161085164536502,0,0.606952350183434,0,8,42.762380613066576,Active,G,0,0,8,0
$C,U,,R.I,9,2,,4,217.5326894799422,42.919703814736515,T,42.919703814736515,4,8.131173079942215,0,0.9700879154057134,0,9,42.919703814736515,Active,G,0,0,9,0
$C,U,,R.I,10,1,,4,218.76125675860294,43.03839007899387,T,43.03839007899387,4,9.359740358602949,0,1.2285672786607336,0,10,43.03839007899387,Active,G,0,0,10,0
$C,U,,R.I,1,10,,5,251.28181967999998,41.88030328,T,41.88030328,5,0,0,0,0,1,41.88030328,Active,G,0,0,1,6
$C,U,,R.I,2,9,,5,252.75074357703275,42.06970339164699,T,42.06970339164699,5,1.4689238970327665,0,1.4689238970327665,0,2,42.06970339164699,Active,G,0,0,2,0
$C,U,,R.I,3,8,,5,253.74522229498467,42.15162002229339,T,42.15162002229339,5,2.4634026149846875,0,0.994478717951921,0,3,42.15162002229339,Active,G,0,0,3,0
$C,U,,R.I,4,7,,5,255.00026625462348,42.25938503493109,T,42.25938503493109,5,3.718446574623499,0,1.2550439596388117,0,4,42.25938503493109,Active,G,0,0,4,0
$C,U,,R.I,5,6,,5,255.8560710433736,42.359915286412814,T,42.359915286412814,5,4.574251363373605,0,0.8558047887501061,0,5,42.359915286412814,Active,G,0,0,5,0
$C,U,,R.I,6,5,,5,256.8862945092624,42.492212984533026,T,42.492212984533026,5,5.604474829262443,0,1.030223465888838,0,6,42.492212984533026,Active,G,0,0,6,0
$C,U,,R.I,7,4,,5,258.541091458877,42.58544224452397,T,42.58544224452397,5,7.259271778877036,0,1.6547969496145924,0,7,42.58544224452397,Active,G,0,0,7,0
$C,U,,R.I,8,3,,5,259.21490698665025,42.65230542211376,T,42.65230542211376,5,7.933087306650265,0,0.673815527773229,0,8,42.65230542211376,Active,G,0,0,8,0
$C,U,,R.I,9,2,,5,260.32861322391085,42.795923743968665,T,42.795923743968665,5,9.046793543910866,0,1.113706237260601,0,9,42.795923743968665,Active,G,0,0,9,0
$C,U,,R.I,10,1,,5,261.65635395693266,42.895097198329736,T,42.895097198329736,5,10.374534276932678,0,1.3277407330218125,0,10,42.895097198329736,Active,G,0,0,10,0
$C,U,,R.I,1,10,,6,293.16212296,41.88030328,T,41.88030328,6,0,0,0,0,1,41.88030328,Active,G,0,0,1,7
$C,U,,R.I,2,9,,6,294.8131658090497,42.062422232016914,T,42.062422232016914,6,1.651042849049702,0,1.651042849049702,0,2,42.062422232016914,Active,G,0,0,2,0
$C,U,,R.I,3,8,,6,295.86841368553695,42.12319139055229,T,42.12319139055229,6,2.7062907255369737,0,1.0552478764872717,0,3,42.12319139055229,Active,G,0,0,3,0
$C,U,,R.I,4,7,,6,297.2192954382057,42.2190291835822,T,42.2190291835822,6,4.0571724782057,0,1.3508817526687267,0,4,42.2190291835822,Active,G,0,0,4,0
$C,U,,R.I,5,6,,6,298.1615250645945,42.30545402122092,T,42.30545402122092,6,4.999402104594537,0,0.942229626388837,0,5,42.30545402122092,Active,G,0,0,5,0
$C,U,,R.I,6,5,,6,299.30940707569414,42.42311256643168,T,42.42311256643168,6,6.147284115694163,0,1.1478820110996253,0,6,42.42311256643168,Active,G,0,0,6,0
$C,U,,R.I,7,4,,6,301.04127725144514,42.50018579256812,T,42.50018579256812,6,7.879154291445161,0,1.7318701757509984,0,7,42.50018579256812,Active,G,0,0,7,0
$C,U,,R.I,8,3,,6,301.77052612004223,42.55561913339201,T,42.55561913339201,6,8.608403160042258,0,0.7292488685970966,0,8,42.55561913339201,Active,G,0,0,8,0
$C,U,,R.I,9,2,,6,303.0159756418447,42.687362417933834,T,42.687362417933834,6,9.853852681844728,0,1.2454495218024704,0,9,42.687362417933834,Active,G,0,0,9,0
$C,U,,R.I,10,1,,6,304.42542950396603,42.769075547033374,T,42.769075547033374,6,11.263306543966053,0,1.4094538621213246,0,10,42.769075547033374,Active,G,0,0,10,0
$C,U,,R.I,1,10,,7,335.04242624,41.88030328,T,41.88030328,7,0,0,0,0,1,41.88030328,Active,G,0,0,1,8
$C,U,,R.I,2,9,,7,336.8685867930221,42.05542098397241,T,42.05542098397241,7,1.8261605530220777,0,1.8261605530220777,0,2,42.05542098397241,Active,G,0,0,2,0
$C,U,,R.I,3,8,,7,337.9649612485337,42.09654756299676,T,42.09654756299676,7,2.922535008533714,0,1.0963744555116364,0,3,42.09654756299676,Active,G,0,0,3,0
$C,U,,R.I,4,7,,7,339.4022216996199,42.18292626141418,T,42.18292626141418,7,4.359795459619875,0,1.4372604510861606,0,4,42.18292626141418,Active,G,0,0,4,0
$C,U,,R.I,5,6,,7,340.4184464288163,42.256921364221775,T,42.256921364221775,7,5.376020188816312,0,1.0162247291964377,0,5,42.256921364221775,Active,G,0,0,5,0
$C,U,,R.I,6,5,,7,341.67125101952024,42.36184394382609,T,42.36184394382609,7,6.628824779520244,0,1.2528045907039314,0,6,42.36184394382609,Active,G,0,0,6,0
$C,U,,R.I,7,4,,7,343.4660506089185,42.4247733574734,T,42.4247733574734,7,8.423624368918524,0,1.7947995893982807,0,7,42.4247733574734,Active,G,0,0,7,0
$C,U,,R.I,8,3,,7,344.2412776587521,42.47075153870985,T,42.47075153870985,7,9.198851418752099,0,0.7752270498335747,0,8,42.47075153870985,Active,G,0,0,8,0
$C,U,,R.I,9,2,,7,345.60813809849157,42.59216245664687,T,42.59216245664687,7,10.565711858491568,0,1.3668604397394688,0,9,42.59216245664687,Active,G,0,0,9,0
$C,U,,R.I,10,1,,7,347.083644458445,42.65821495447899,T,42.65821495447899,7,12.04121821844501,0,1.4755063599534424,0,10,42.65821495447899,Active,G,0,0,10,0
$C,U,,R.I,1,10,,8,376.92272952,41.88030328,T,41.88030328,8,0,0,0,0,1,41.88030328,Active,G,0,0,1,9
$C,U,,R.I,2,9,,8,378.9172756798189,42.048688886796825,T,42.048688886796825,8,1.9945461598188672,0,1.9945461598188672,0,2,42.048688886796825,Active,G,0,0,2,0
$C,U,,R.I,3,8,,8,380.03655457499076,42.071593326457055,T,42.071593326457055,8,3.113825054990741,0,1.119278895171874,0,3,42.071593326457055,Active,G,0,0,3,0
$C,U,,R.I,4,7,,8,381.5529648650272,42.15074316540732,T,42.15074316540732,8,4.630235345027188,0,1.516410290036447,0,4,42.15074316540732,Active,G,0,0,4,0
$C,U,,R.I,5,6,,8,382.6321316814518,42.21368525263549,T,42.21368525263549,8,5.709402161451806,0,1.0791668164246175,0,5,42.21368525263549,Active,G,0,0,5,0
$C,U,,R.I,6,5,,8,383.978793672154,42.307542652633764,T,42.307542652633764,8,7.056064152153965,0,1.3466619907021595,0,6,42.307542652633764,Active,G,0,0,6,0
$C,U,,R.I,7,4,,8,385.82413287147136,42.358082262552855,T,42.358082262552855,8,8.901403351471345,0,1.8453391993173796,0,7,42.358082262552855,Active,G,0,0,7,0
$C,U,,R.I,8,3,,8,386.6375904895516,42.39631283079949,T,42.39631283079949,8,9.71486096955158,0,0.8134576180802355,0,8,42.39631283079949,Active,G,0,0,8,0
$C,U,,R.I,9,2,,8,388.11682519624406,42.50868709775252,T,42.50868709775252,8,11.194095676244046,0,1.4792347066924663,0,9,42.50868709775252,Active,G,0,0,9,0
$C,U,,R.I,10,1,,8,389.6443073335987,42.56066287515371,T,42.56066287515371,8,12.721577813598685,0,1.5274821373546388,0,10,42.56066287515371,Active,G,0,0,10,0
$C,U,,R.I,1,10,,9,418.80303280000004,41.88030328,T,41.88030328,9,0,0,0,0,1,41.88030328,Active,G,0,0,1,10
$C,U,,R.I,2,9,,9,420.9594912732695,42.04221559345062,T,42.04221559345062,9,2.156458473269481,0,2.156458473269481,0,2,42.04221559345062,Active,G,0,0,2,0
$C,U,,R.I,3,8,,9,422.08479272563,42.048238150639264,T,42.048238150639264,9,3.281759925629956,0,1.1253014523604747,0,3,42.048238150639264,Active,G,0,0,3,0
$C,U,,R.I,4,7,,9,423.6751335110631,42.12216864603592,T,42.12216864603592,9,4.872100711063069,0,1.5903407854331135,0,4,42.12216864603592,Active,G,0,0,4,0
$C,U,,R.I,5,6,,9,424.80730125783447,42.17516957638266,T,42.17516957638266,9,6.004268457834428,0,1.1321677467713585,0,5,42.17516957638266,Active,G,0,0,5,0
$C,U,,R.I,6,5,,9,426.2382311974648,42.25943752531081,T,42.25943752531081,9,7.435198397464774,0,1.4309299396303459,0,6,42.25943752531081,Active,G,0,0,6,0
$C,U,,R.I,7,4,,9,428.1232480103158,42.29911513884446,T,42.29911513884446,9,9.32021521031578,0,1.8850168128510063,0,7,42.29911513884446,Active,G,0,0,7,0
$C,U,,R.I,8,3,,9,428.9686638064908,42.331073316939175,T,42.331073316939175,9,10.165631006490742,0,0.8454157961749615,0,8,42.331073316939175,Active,G,0,0,8,0
$C,U,,R.I,9,2,,9,430.55231976835296,42.435494572108894,T,42.435494572108894,9,11.74928696835292,0,1.5836559618621777,0,9,42.435494572108894,Active,G,0,0,9,0
$C,U,,R.I,10,1,,9,432.11910085343476,42.47479351983604,T,42.47479351983604,9,13.31606805343472,0,1.5667810850818,0,10,42.47479351983604,Active,G,0,0,10,0
$C,U,,R.I,1,10,,10,460.68333608000006,41.88030328,T,41.88030328,10,0,0,0,0,1,41.88030328,Active,G,0,0,1,11
$C,U,,R.I,2,9,,10,462.9954824279378,42.03599115466831,T,42.03599115466831,10,2.3121463479377553,0,2.3121463479377553,0,2,42.03599115466831,Active,G,0,0,2,0
$C,U,,R.I,3,8,,10,464.1111886944193,42.026395968789295,T,42.026395968789295,10,3.427852614419237,0,1.1157062664814816,0,3,42.026395968789295,Active,G,0,0,3,0
$C,U,,R.I,4,7,,10,465.77204553320695,42.096912022143854,T,42.096912022143854,10,5.088709453206889,0,1.6608568387876517,0,4,42.096912022143854,Active,G,0,0,4,0
$C,U,,R.I,5,6,,10,466.9481512082185,42.14084995038403,T,42.14084995038403,10,6.2648151282184585,0,1.17610567501157,0,5,42.14084995038403,Active,G,0,0,5,0
$C,U,,R.I,6,5,,10,468.45507298461496,42.21684178715012,T,42.21684178715012,10,7.771736904614897,0,1.5069217763964389,0,6,42.21684178715012,Active,G,0,0,6,0
$C,U,,R.I,7,4,,10,470.3702342523974,42.24698624208157,T,42.24698624208157,10,9.68689817239732,0,1.9151612677824232,0,7,42.24698624208157,Active,G,0,0,7,0
$C,U,,R.I,8,3,,10,471.2426091623648,42.273945355874005,T,42.273945355874005,10,10.559273082364712,0,0.872374909967391,0,8,42.273945355874005,Active,G,0,0,8,0
$C,U,,R.I,9,2,,10,472.92363516058583,42.371315392232844,T,42.371315392232844,10,12.240299080585771,0,1.6810259982210596,0,9,42.371315392232844,Active,G,0,0,9,0
$C,U,,R.I,10,1,,10,474.5182814619466,42.399180608511834,T,42.399180608511834,10,13.834945381946511,0,1.59464630136074,0,10,42.399180608511834,Active,G,0,0,10,0
$C,U,,R.I,1,10,,11,502.5636393600001,41.88030328,T,41.88030328,11,0,0,0,0,1,41.88030328,Active,G,0,0,1,12
$C,U,,R.I,2,9,,11,505.0254884316045,42.03000600366671,T,42.03000600366671,11,2.4618490716044334,0,2.4618490716044334,0,2,42.03000600366671,Active,G,0,0,2,0
$C,U,,R.I,3,8,,11,506.11717366271944,42.00598496830014,T,42.00598496830014,11,3.553534302719356,0,1.0916852311149228,0,3,42.00598496830014,Active,G,0,0,3,0
$C,U,,R.I,4,7,,11,507.84674749927456,42.07470196606758,T,42.07470196606758,11,5.283108139274475,0,1.7295738365551188,0,4,42.07470196606758,Active,G,0,0,4,0
$C,U,,R.I,5,6,,11,509.0584009797282,42.110249771509714,T,42.110249771509714,11,6.494761619728138,0,1.2116534804536627,0,5,42.110249771509714,Active,G,0,0,5,0
$C,U,,R.I,6,5,,11,510.6342178812323,42.17914489661737,T,42.17914489661737,11,8.070578521232221,0,1.5758169015040835,0,6,42.17914489661737,Active,G,0,0,6,0
$C,U,,R.I,7,4,,11,512.5711433941827,42.200909141785324,T,42.200909141785324,11,10.00750403418266,0,1.9369255129504381,0,7,42.200909141785324,Active,G,0,0,7,0
$C,U,,R.I,8,3,,11,513.4665764517773,42.22396728941249,T,42.22396728941249,11,10.902937091777233,0,0.8954330575945733,0,8,42.22396728941249,Active,G,0,0,8,0
$C,U,,R.I,9,2,,11,515.2386673909373,42.31503223035149,T,42.31503223035149,11,12.675028030937199,0,1.7720909391599662,0,9,42.31503223035149,Active,G,0,0,9,0
$C,U,,R.I,10,1,,11,516.8508547909394,42.332573328992744,T,42.332573328992744,11,14.287215430939284,0,1.6121874000020853,0,10,42.332573328992744,Active,G,0,0,10,0
$C,U,,R.I,1,10,,12,544.44394264,41.88030328,T,41.88030328,12,0,0,0,0,1,41.88030328,Active,G,0,0,1,13
$C,U,,R.I,2,9,,12,547.0497393730456,42.02425094144106,T,42.02425094144106,12,2.6057967330455085,0,2.6057967330455085,0,2,42.02425094144106,Active,G,0,0,2,0
$C,U,,R.I,3,8,,12,548.1041010535414,41.98692739082194,T,41.98692739082194,12,3.660158413541353,0,1.0543616804958447,0,3,41.98692739082194,Active,G,0,0,3,0
$C,U,,R.I,4,7,,12,549.9020328546356,42.05528535536112,T,42.05528535536112,12,5.458090214635604,0,1.7979318010942507,0,4,42.05528535536112,Active,G,0,0,4,0
$C,U,,R.I,5,6,,12,551.1413375222877,42.08293654255953,T,42.08293654255953,12,6.697394882287654,0,1.2393046676520498,0,5,42.08293654255953,Active,G,0,0,5,0
$C,U,,R.I,6,5,,12,552.7800229553039,42.14580507407161,T,42.14580507407161,12,8.336080315303889,0,1.638685433016235,0,6,42.14580507407161,Active,G,0,0,6,0
$C,U,,R.I,7,4,,12,554.7313290532086,42.16018565902589,T,42.16018565902589,12,10.287386413208537,0,1.9513060979046486,0,7,42.16018565902589,Active,G,0,0,7,0
$C,U,,R.I,8,3,,12,555.6468656134044,42.180289161627165,T,42.180289161627165,12,11.202922973404384,0,0.9155365601958465,0,8,42.180289161627165,Active,G,0,0,8,0
$C,U,,R.I,9,2,,12,557.504329487894,42.26566209695674,T,42.26566209695674,12,13.060386847893938,0,1.8574638744895537,0,9,42.26566209695674,Active,G,0,0,9,0
$C,U,,R.I,10,1,,12,559.1247299228535,42.273875131914096,T,42.273875131914096,12,14.68078728285343,0,1.6204004349594925,0,10,42.273875131914096,Active,G,0,0,10,0
$C,U,,R.I,1,10,,13,586.3242459200001,41.88030328,T,41.88030328,13,0,0,0,0,1,41.88030328,Active,G,0,0,1,14
$C,U,,R.I,2,9,,13,589.068456495672,42.01871712262641,T,42.01871712262641,13,2.7442105756719,0,2.7442105756719,0,2,42.01871712262641,Active,G,0,0,2,0
$C,U,,R.I,3,8,,13,590.0732503949953,41.96914934145387,T,41.96914934145387,13,3.7490044749952176,0,1.0047938993233174,0,3,41.96914934145387,Active,G,0,0,3,0
$C,U,,R.I,4,7,,13,591.9404590422954,42.03842618765973,T,42.03842618765973,13,5.616213122295335,0,1.8672086473001173,0,4,42.03842618765973,Active,G,0,0,4,0
$C,U,,R.I,5,6,,13,593.1998559689677,42.05851844667999,T,42.05851844667999,13,6.875610048967587,0,1.2593969266722524,0,5,42.05851844667999,Active,G,0,0,5,0
$C,U,,R.I,6,5,,13,594.8963654223354,42.116342467031465,T,42.116342467031465,13,8.57211950233534,0,1.696509453367753,0,6,42.116342467031465,Active,G,0,0,6,0
$C,U,,R.I,7,4,,13,596.8555249926421,42.12419593943357,T,42.12419593943357,13,10.531279072642064,0,1.9591595703067242,0,7,42.12419593943357,Active,G,0,0,7,0
$C,U,,R.I,8,3,,13,597.7890256516833,42.142160038278924,T,42.142160038278924,13,11.46477973168328,0,0.9335006590412149,0,8,42.142160038278924,Active,G,0,0,8,0
$C,U,,R.I,9,2,,13,599.7266700494455,42.222340561551455,T,42.222340561551455,13,13.402424129445421,0,1.937644397762142,0,9,42.222340561551455,Active,G,0,0,9,0
$C,U,,R.I,10,1,,13,601.3468549573136,42.222125034460085,T,42.222125034460085,13,15.022609037313487,0,1.6201849078680652,0,10,42.222125034460085,Active,G,0,0,10,0
$C,U,,R.I,1,10,,14,628.2045492000001,41.88030328,T,41.88030328,14,0,0,0,0,1,41.88030328,Active,G,0,0,1,15
$C,U,,R.I,2,9,,14,631.0818525375746,42.01339604190259,T,42.01339604190259,14,2.877303337574517,0,2.877303337574517,0,2,42.01339604190259,Active,G,0,0,2,0
$C,U,,R.I,3,8,,14,632.0258310016101,41.95258060661475,T,41.95258060661475,14,3.8212818016099845,0,0.9439784640354674,0,3,41.95258060661475,Active,G,0,0,3,0
$C,U,,R.I,4,7,,14,633.9643635976872,42.02390455539186,T,42.02390455539186,14,5.759814397687137,0,1.9385325960771524,0,4,42.02390455539186,Active,G,0,0,4,0
$C,U,,R.I,5,6,,14,635.236497125558,42.0366411565903,T,42.0366411565903,14,7.031947925557915,0,1.2721335278707784,0,5,42.0366411565903,Active,G,0,0,5,0
$C,U,,R.I,6,5,,14,636.9866983260528,42.09033290371736,T,42.09033290371736,14,8.782149126052673,0,1.7502012004947574,0,6,42.09033290371736,Active,G,0,0,6,0
$C,U,,R.I,7,4,,14,638.9479145499697,42.09238955732759,T,42.09238955732759,14,10.743365349969622,0,1.9612162239169493,0,7,42.09238955732759,Active,G,0,0,7,0
$C,U,,R.I,8,3,,14,639.8979424087504,42.10891675706702,T,42.10891675706702,14,11.693393208750308,0,0.9500278587806861,0,8,42.10891675706702,Active,G,0,0,8,0
$C,U,,R.I,9,2,,14,641.910977834458,42.184307785012436,T,42.184307785012436,14,13.706428634457893,0,2.013035425707585,0,9,42.184307785012436,Active,G,0,0,9,0
$C,U,,R.I,10,1,,14,643.5233360996208,42.17648114230724,T,42.17648114230724,14,15.318786899620704,0,1.6123582651628112,0,10,42.17648114230724,Active,G,0,0,10,0
$C,U,,R.I,1,10,,15,670.0848524800001,41.88030328,T,41.88030328,15,0,0,0,0,1,41.88030328,Active,G,0,0,1,16
$C,U,,R.I,2,9,,15,673.0901320584964,42.00827952092172,T,42.00827952092172,15,3.0052795784962427,0,3.0052795784962427,0,2,42.00827952092172,Active,G,0,0,2,0
$C,U,,R.I,3,8,,15,673.9629854818174,41.93715448020732,T,41.93715448020732,15,3.878133001817332,0,0.8728534233210894,0,3,41.93715448020732,Active,G,0,0,3,0
$C,U,,R.I,4,7,,15,675.9758792749011,42.011515677213886,T,42.011515677213886,15,5.891026794900995,0,2.012893793083663,0,4,42.011515677213886,Active,G,0,0,4,0
$C,U,,R.I,5,6,,15,677.2534819894613,42.016984863903275,T,42.016984863903275,15,7.168629509461198,0,1.277602714560203,0,5,42.016984863903275,Active,G,0,0,5,0
$C,U,,R.I,6,5,,15,679.0541005159939,42.06740218994114,T,42.06740218994114,15,8.969248035993814,0,1.8006185265326167,0,6,42.06740218994114,Active,G,0,0,6,0
$C,U,,R.I,7,4,,15,681.0121921053898,42.06427755542001,T,42.06427755542001,15,10.927339625389664,0,1.958091589395849,0,7,42.06427755542001,Active,G,0,0,7,0
